"time_point","treatment","replicate","ID","max_abundance","mean_length_um","mean_width_um","mean_area_sqrd_um","mean_speed","max_length","mean_roundness"
0,"15","1",1,14,294.576470588235,93.515727124183,20854.3401275952,1.70312947228367,302.115625,3.25212629829298
0,"15","1",2,19,236.200459558824,68.4426613237888,11716.9644954932,1.68909571975829,269.923345588235,3.94204015931386
0,"15","1",3,19,165.415181238511,57.2185074550654,6817.69207137129,1.1758337310896,182.380882352941,3.18730539367531
0,"15","1",4,19,228.401541146762,80.9566085693537,13920.6775438934,0.676946372266392,270.220588235294,3.34749359977201
0,"15","1",5,14,262.539179766734,75.873844940275,14476.5107646761,1.69479459848406,284.839522058824,3.76036082788016
0,"15","1",6,14,274.238686497326,81.9248366013072,16463.8074899077,1.65478435091737,284.839522058824,3.47069839627186
0,"15","1",7,14,220.015132491676,105.301532248119,16860.1840592878,1.72660576286926,239.415441176471,2.27230409845788
0,"15","1",8,14,275.0125,83.031352124183,17064.9415939783,1.7151807183434,292.045404411765,3.50906688575801
0,"15","1",9,14,289.506617647059,88.7895658263305,18612.3576268743,1.65920469330639,294.090073529412,3.32875971268261
0,"15","1",10,14,202.131755514706,62.8680555555556,9440.61103301615,1.56400378895413,211.483639705882,3.34827713548794
0,"15","1",11,18,272.589812618596,77.5832806240776,15590.4071286168,1.80349435669081,312.185845588235,4.05140949108481
0,"15","1",12,13,273.499264705882,68.4444444444444,13154.1204104191,1.87442396914631,273.499264705882,3.93781495405376
0,"15","1",13,19,179.789793040061,56.0310175794456,7149.97972016731,1.59108742244601,201.413419117647,3.61731160922722
0,"15","1",14,19,218.015034448819,67.380873346714,10584.8043898546,1.49785661799681,262.068933823529,3.91637216718305
0,"15","1",15,19,173.049633859691,58.7338476374156,7252.18340912386,0.26669341116917,210.276654411765,3.60134602871133
0,"15","1",16,19,206.753980372391,60.2699636306135,8932.0720851394,1.70695014399718,252.088786764706,4.26866771603637
0,"15","1",17,14,261.213235294118,125.816993464052,23596.4683054594,1.5546923330843,261.213235294118,2.12609970674487
0,"15","1",18,17,247.332904411765,118.205065359477,21451.3348231449,1.65929719865542,256.349264705882,2.21104424604153
0,"15","1",19,19,204.764550339367,91.679998922646,13620.2410592819,1.48651140680484,233.66875,2.54608839280228
0,"15","1",20,19,219.158577858714,65.9620365280068,10568.6879731735,1.69717964080719,262.609375,4.07844048446995
0,"15","1",21,19,210.821304631666,62.5989096573209,9450.16219161753,1.61214634819264,262.609375,4.2598566723874
0,"15","1",23,19,198.045034280604,63.8458090443385,9110.52738779004,1.37320790887801,222.832904411765,3.49528492057973
0,"15","1",24,19,279.036292420815,76.0244343891403,15349.6909934788,1.76475088137683,302.584007352941,4.00564247696416
0,"15","1",25,19,275.453246156417,82.1158088235294,16904.4245302288,1.67755044240991,297.107536764706,3.6801921259406
0,"15","1",26,17,248.734448529412,81.1789215686275,14425.0108131488,1.53833974690027,279.993566176471,3.52233585882377
0,"15","1",27,16,266.015540158371,71.8083207642031,14511.5633687487,1.62075726065255,275.570955882353,3.87186757449488
0,"15","1",28,19,221.528757835101,73.527362584378,11847.0022662311,1.34667817851077,241.694301470588,3.28220095948074
0,"15","1",29,19,280.376558823529,84.6025816993464,18043.4057814302,1.62187051203084,294.810661764706,3.4701066583718
0,"15","1",30,17,258.087683823529,92.5294117647059,16513.4803921569,1.3035002393014,258.087683823529,2.87123779789497
0,"15","1",31,19,237.209712009804,78.7616518829754,13894.2203719723,1.32154011623851,254.286580882353,3.22701710098682
0,"15","1",32,19,256.408884803922,78.6636515717398,14738.396890619,1.60919944572292,281.975183823529,3.56993374983192
0,"15","1",33,19,240.877634803922,114.901870007262,20372.0223792131,1.57160546102173,260.627757352941,2.32604942907558
0,"15","1",34,17,294.645151654412,80.7273284313726,17262.2534001346,1.84592589673965,313.320772058824,3.91203510078342
0,"15","1",35,16,296.693198529412,93.5539215686275,20419.2422986351,1.67596995931158,308.168566176471,3.31619248947641
0,"15","10",1,14,281.233728553922,77.1318082788671,15593.366533705,1.69875990095574,303.358639705882,3.92975249552632
0,"15","10",2,13,230.809558823529,75.4914799253035,13449.0039888504,0.875248527533308,239.370404411765,3.16334889872598
0,"15","10",3,14,196.241847426471,66.7996119281046,9255.4414918541,1.28562395790584,213.627389705882,3.2029623514354
0,"15","10",4,14,249.590217704729,75.5640298603101,14085.0273933103,0.732369692503824,267.500367647059,3.53652886392524
0,"15","10",5,14,242.026072303922,75.2430555555556,14132.2473127323,0.923771867027747,267.500367647059,3.59158237260301
0,"15","10",6,17,267.150454885344,78.7682923451867,15578.4573872337,1.0100030396438,284.299080882353,3.61122979085959
0,"15","10",7,17,231.254779411765,81.6192810457516,12830.3266772395,0.583026246170124,256.349264705882,3.20406041090855
0,"15","10",8,13,257.248713235294,77.8447712418301,14466.6414359862,1.13810533592489,266.779779411765,3.41318389564099
0,"15","10",9,14,227.292294730392,76.6858319716776,12959.0571718543,1.09026154573321,243.784007352941,3.18140246151114
0,"15","10",10,17,225.472487745098,75.162672476398,12494.0052103358,0.651429577501817,285.019669117647,3.80646976229497
0,"15","10",11,13,199.403492647059,77.4313725490196,11419.5111255286,1.05128966134913,238.478676470588,3.11970053224462
0,"15","10",12,17,243.883580824908,72.6210490706699,12700.6827020407,1.16394988456004,270.220588235294,3.72103474448358
0,"15","10",13,17,240.072761764706,85.3436078431373,15088.4641724337,0.731815027834157,272.202205882353,3.19063850052095
0,"15","10",14,16,252.141807319519,84.3510008169935,15279.0167844098,1.477574369608,273.949632352941,3.24962093300917
0,"15","10",15,17,251.338726470588,73.627385620915,14254.6953094963,1.6791645344056,270.220588235294,3.68303478941829
0,"15","10",16,17,211.037332750723,64.769306493089,10531.5902251892,1.15302164862066,242.027573529412,3.73259597946449
0,"15","10",17,17,234.436570069204,68.4054003954523,11680.0426377298,1.51135856608504,296.080698529412,4.33156531797058
0,"15","10",18,17,257.669389087411,76.6203652800684,14239.7372494673,1.47625473915257,284.839522058824,3.71100736041555
0,"15","10",19,17,239.104293974872,73.3786169807729,12787.494739234,1.18075429407382,254.007352941176,3.46005494076869
0,"15","10",20,17,240.018733660131,75.7207607116921,13452.7301865735,1.2078974338497,273.949632352941,3.6154490998169
0,"15","10",21,16,281.76640625,81.921626984127,17190.7007671328,1.54291570301317,300.638419117647,3.66977066712156
0,"15","10",22,17,230.632944518717,74.6815359477124,12205.5519511726,1.16563319754894,240.721507352941,3.22158322122885
0,"15","10",23,17,261.290257352941,96.5968220621582,19544.9166186082,1.03545847703036,279.227941176471,2.88906009244992
0,"15","10",24,17,246.108479349186,71.8906445556946,12594.3706057204,1.48317728334307,272.049080882353,3.77700138736044
0,"15","10",25,16,189.219919786096,65.5543300653595,9126.93585399846,1.21637405468401,211.051286764706,3.22310617588137
0,"15","10",26,17,210.228465073529,73.8046977124183,11670.7403702903,1.22179522604766,222.922977941176,3.01852688037229
0,"15","10",27,17,280.303419117647,86.6214052287582,17905.7934448289,1.36967134151268,296.323897058824,3.40800396640648
0,"15","10",28,17,206.638184232026,73.2834059549746,10907.801386486,1.224005347247,224.868566176471,3.07499730987742
0,"15","10",29,17,285.659191176471,131.338818860878,28060.1961985775,1.17325577464576,294.945772058823,2.24921498506291
0,"15","2",1,5,206.302515479876,63.0012039903681,10099.3821645015,0.729825981033659,216.176470588235,3.45621216910622
0,"15","2",2,7,205.276822916667,63.7637527233115,9523.00497404844,0.77900027294535,225.183823529412,3.52803270121345
0,"15","2",3,6,221.501617647059,77.6250907770516,13310.6207147892,0.688520316476657,238.478676470588,3.06505153026915
0,"15","2",4,7,222.047823529412,75.9273202614379,13150.3428168653,0.628673067753022,234.191176470588,3.08627091535259
0,"15","2",5,5,224.330969427245,70.1618937048504,11539.412188379,0.847443813966675,237.803125,3.3808200379117
0,"15","2",6,7,199.022203947368,104.608946795092,15052.1481489913,0.363381658387192,270.220588235294,2.67871686687342
0,"15","2",7,7,244.539424019608,109.098710965868,19775.7022539408,0.518471317215491,268.148897058824,2.4601012662848
0,"15","2",8,6,261.296803513072,98.4126043936093,19037.4975136433,1.63127573443835,275.940257352941,2.79852482022543
0,"15","2",9,7,269.36224754902,108.160076252723,21492.3486960144,1.66233024510762,286.253676470588,2.64774742033554
0,"15","2",10,7,242.792961493808,77.8720867733058,13836.8565386036,1.17651581531359,278.065992647059,3.57168791966935
0,"15","2",11,7,186.763069404591,56.5729316116691,8309.06052491537,0.693001110172778,198.161764705882,3.53813778145011
0,"15","2",12,7,221.613534007353,91.7284517973856,15081.7049782536,0.986018561743622,230.173897058824,2.48299343409862
0,"15","2",13,7,206.47214869281,70.3672476397967,10875.8717266863,0.930790042885323,218.878676470588,3.10386606052211
0,"15","3",2,24,192.592750830171,64.7508169934641,9472.27231539358,0.716170124636631,211.051286764706,3.25532883856519
0,"15","3",3,25,223.517463235294,77.0923202614379,13021.6593377547,0.871714500700033,230.876470588235,2.99580248331427
0,"15","3",4,24,262.058800551471,88.5189950980392,18193.1603830258,0.808504706286178,270.968198529412,3.04088318979481
0,"15","3",5,26,181.779127966976,79.4088120628368,10044.7064683286,0.18519396473288,225.183823529412,2.83039405931308
0,"15","3",7,26,173.65559528606,66.620344256424,8990.82050897179,0.451473908670916,191.072977941176,2.86601350716916
0,"15","3",8,26,190.344290070679,68.4500873993008,9294.63716251054,0.779152357826408,214.104779411765,3.12896012380517
