"time_point","treatment","replicate","ID","max_abundance","mean_length_um","mean_width_um","mean_area_sqrd_um","mean_speed","max_length","mean_roundness"
0,"15","1",15,43,208.009777813299,70.2695723216823,11220.1567540912,0.989795172683156,226.796139705882,3.22599717226795
0,"15","1",21,18,300.43125,114.565359477124,17363.4389417532,0.111841299019606,301.070772058824,2.64230985716881
0,"15","1",22,36,209.372916666667,86.7238562091503,7825.0152185057,0.423760703571387,258.087683823529,2.81543299963682
0,"15","1",23,43,207.172120098039,94.9349128540305,9255.10420671537,0.452885722451388,227.868014705882,2.47632412675629
0,"15","1",25,51,171.830269607843,76.4547930283224,6894.10823561451,0.28091429975022,185.695588235294,2.5952654310239
0,"15","1",56,33,357.821599264706,103.956290849673,10239.9768118032,1.01172917796005,360.996691176471,3.47503486622381
0,"15","1",57,43,367.013602941177,102.567810457516,15946.8413590927,0.111841299019595,367.013602941177,3.76236625781515
0,"15","1",127,50,194.979844639469,80.3236414189332,11121.9230487499,0.668068679242673,223.598529411765,2.77987336532319
0,"15","1",132,51,193.775700638862,69.021891406836,9994.14570905106,0.51296809374169,223.733639705882,3.23907136233254
0,"15","1",141,51,194.914851006192,124.474630202958,17798.004215231,0.644679781786675,253.205698529412,2.00473711371778
0,"15","1",148,25,288.79375,135.100490196078,26996.3025038447,0.461072045739955,288.79375,2.63782539046856
0,"15","1",164,32,130.606617647059,98.8562091503268,7103.2250216263,0.305892082609884,241.694301470588,2.60840736054596
0,"15","1",183,51,306.25,143.790849673203,33715.0224673203,0.447365196078425,324.264705882353,2.18677685950413
0,"15","1",187,33,215.163143382353,132.626838235294,17130.7121960304,0.370113046692838,265.987132352941,1.92388934193731
0,"15","1",217,38,171.743198529412,103.957189542484,9560.00997212611,1.00435191663946,281.398713235294,2.09385695942094
0,"15","1",223,36,248.035477941176,117.018790849673,16958.6967752787,0.157988255471508,252.845404411765,2.14673465616147
0,"15","1",226,51,138.334926470588,75.2453022875817,5609.05185705818,0.327656262776146,171.968382352941,2.50272463593769
0,"15","1",245,51,147.791145833333,61.5230119825708,5329.10519191337,0.336083546571301,191.072977941176,3.06556288135482
0,"15","1",249,35,186.33821627789,88.4759972954699,11917.5633087075,0.617275292409432,211.483639705882,2.42024518712656
0,"15","1",281,33,206.628676470588,106.809640522876,12506.53294406,0.460149409838842,217.905882352941,2.01545919273362
0,"15","1",282,30,217.739246323529,97.5486111111111,8924.56477076125,0.223302185457502,259.808088235294,2.71956826263424
0,"15","1",292,51,220.608088235294,71.2142156862745,12409.3948241061,1.11839366574748,234.191176470588,3.28331083880106
0,"15","1",321,42,126.485753676471,56.9232026143791,3885.52479815456,0.203979844285781,160.366911764706,2.75207643990803
0,"15","1",338,50,147.862454044118,104.758374183007,10968.5127114571,0.937156469352433,207.610477941176,2.01804637654918
0,"15","1",358,30,89.1637867647059,76.2540849673203,3885.52479815456,0.570231283656367,241.694301470588,2.73521323070522
0,"15","1",371,40,216.176470588235,62.9084967320261,3925.999014802,0.223682598039185,216.176470588235,3.88477801268499
0,"15","10",1,12,286.716616881127,73.0047487745098,15353.6411213536,1.79123355914444,310.978860294118,4.24916646496338
0,"15","10",2,12,302.649105949198,80.8130446623094,17942.342888953,1.74532831619383,344.080882352941,4.25041253955355
0,"15","10",3,11,252.675765931373,69.811741363212,13163.7571286685,1.52365565723567,264.221691176471,3.78631760923581
0,"15","10",4,12,247.756758479602,72.9139191967109,12931.1858138852,1.5936170242934,289.118014705882,3.96714188753923
0,"15","10",5,12,276.801819159267,83.536124984585,16964.4242587666,1.58613611257559,304.790808823529,3.6498999606371
0,"15","10",6,11,204.552481617647,62.780753968254,9037.31437427912,1.31458061352202,214.104779411765,3.40472885774667
0,"15","10",7,9,379.695955882353,153.56862745098,22017.9738562092,0.669526143790859,379.695955882353,2.34382583742675
0,"15","10",8,12,215.637253712164,72.2622311060346,11205.8566615062,1.20594788163629,232.497794117647,3.25680560906359
0,"15","10",9,11,234.235569852941,64.343195611578,11668.1384563629,1.52479996287579,242.360845588235,3.74401669758813
0,"15","10",10,12,218.035469270255,61.8496500801579,10209.8120654338,1.47884804223103,242.027573529412,3.91215682090323
0,"15","10",11,11,295.577105614973,83.4438316993464,18204.1988057478,1.83454195626314,318.454963235294,3.80129207035074
0,"15","10",12,11,291.378359885621,114.258306100218,24403.7040708168,1.66532095201284,302.115625,2.65606294671733
0,"15","10",13,11,325.94239800759,103.568838288003,25562.7318625901,1.71794754480231,342.396507352941,3.2969895610385
0,"15","10",14,11,305.78912377451,103.298747276688,23232.2003556324,1.85346552337601,312.185845588235,3.05951827149423
0,"15","10",15,12,242.460005482456,72.1531289416351,12583.9310074735,1.55832460936644,277.957904411765,3.84822659342923
0,"15","10",17,12,249.751741041244,75.4362745098039,13427.6702884501,1.55297986544212,270.968198529412,3.58588335461899
0,"15","10",21,12,310.597791152751,88.7950532363483,20508.6772612271,1.80835464771412,351.313786764706,3.9967159066306
0,"15","10",23,12,251.430322772491,78.5683511149558,14630.8341089824,1.61727749345606,271.571691176471,3.4461878790984
0,"15","10",24,11,222.188083910035,122.046184159938,20377.577663851,1.45830727810607,232.146507352941,1.9034003594192
0,"15","10",25,12,320.772426470588,81.7540849673203,19943.6702530277,1.71521526942617,340.522977941176,4.14169293086912
0,"15","10",26,11,318.858492647059,86.4901960784314,20427.3371419646,1.69311085488365,338.379227941176,3.92086047106045
0,"15","10",27,12,318.209191176471,80.063258636788,19161.6505670896,1.7357995235972,334.361948529412,4.17512410327351
