"","treatment","predator_treatment","replicate","treat_inter","time_point","max_abundance","mean_length_um","mean_width_um","mean_area_sqrd_um","mean_speed","max_length","mean_roundness","mean_speed_norm"
"1","15","prey",1,"15.prey",0,51,210.117034033116,94.47323320215,11864.7868329234,0.498968358868961,245.974179864253,2.69272646841308,-0.929629200600889
"2","15","prey",1,"15.prey",1,11,215.976990017594,82.6110862827634,13240.4202923617,0.791723881434687,252.057761437908,3.04681372742582,-0.1793373280869
"3","15","prey",1,"15.prey",2,9,212.613815027613,73.3179874552304,11350.6951434968,0.796178296688194,241.192591911765,3.27563462509623,-0.168102141230153
"4","15","prey",1,"15.prey",3,5,203.773608411793,82.0691902172161,12499.6605903764,0.745583024515845,231.532720588235,2.83914472293868,-0.282158371215767
"5","15","prey",1,"15.prey",4,6,202.358533847941,81.704314044194,11940.0145782313,0.669690281700731,237.249673202614,2.95209121578112,-0.449601196125697
"6","15","prey",1,"15.prey",5,3,201.534243158668,90.9316053159631,14556.2866333653,0.563108920040178,226.910232843137,2.6061851108032,-0.685892209395118
"7","15","prey",1,"15.prey",6,5,191.120172711263,79.8575424848144,11367.7194996872,0.415852838831769,227.145174632353,2.87160160468936,-1.02920564288388
"8","15","prey",1,"15.prey",7,2,187.807146004009,83.07233129062,11601.3733563694,0.499451479504829,223.377849264706,2.70501016348896,-0.825388730600781
"9","15","prey",1,"15.prey",9,2,210.518352515758,73.3202020699806,11861.5458742186,0.516512169125035,232.182536764706,3.36531836523461,-0.786068305653422
"10","15","prey",1,"15.prey",16,1,215.806188452528,79.1222874128269,12955.3193088711,0.365658798836334,244.833363970588,3.13586159202378,-1.12564693720574
"11","15","prey",1,"15.prey",19,2,213.637573769833,85.3267442681999,11730.5951761398,0.334675671402151,241.174126838236,3.00808715325359,-1.35963762578425
"12","15","prey",1,"15.prey",20,1,203.310554006085,84.1625816993464,11790.5580081931,0.269528871797586,262.609375,3.40049907167907,-1.38136742389087
"13","15","prey",1,"15.prey",23,4,221.496023700648,99.6432826073053,15548.7133101976,0.422942296834549,254.058019301471,2.54440183613633,-0.994556977215799
"14","15","prey",1,"15.prey",24,2,217.430020026304,82.5961632620528,13213.321591128,0.433807676319302,242.234742647059,2.93026018171139,-0.966086622806272
"15","15","prey",2,"15.prey",0,13,224.948788417989,75.5680833810267,12623.4412288369,1.21065386142056,250.370183823529,3.32406939837066,0.745419985951159
"16","15","prey",2,"15.prey",1,17,236.478636626921,85.0305255119377,14969.6135207102,0.949022424702866,269.174573055028,3.26873211607441,0.162922975740288
"17","15","prey",2,"15.prey",2,23,229.669643209007,84.2629426325766,14315.0847472116,0.772418798222956,259.529889705882,3.19140167587547,-0.236504247560179
"18","15","prey",2,"15.prey",3,18,219.804968578303,81.5840926902675,13304.1702071667,0.757276484807474,256.293218954248,3.22798444028442,-0.255846232960387
"19","15","prey",2,"15.prey",4,15,226.834407164368,81.6442195183446,13848.0632820105,0.79312718987136,256.504641544118,3.22022577097401,-0.181342298440054
"20","15","prey",2,"15.prey",5,11,214.361101419945,79.9656645554954,12952.3246134406,0.873279828908498,249.656801470588,3.24645579174272,-0.0429797723300983
"21","15","prey",2,"15.prey",6,8,220.102576211989,87.2733683655674,14590.6776203294,0.857837506162155,261.326327614379,3.13631224192305,-0.057735363535245
"22","15","prey",2,"15.prey",7,10,225.666881353353,84.8513502178894,14207.7112579287,0.83360694028592,258.617731900453,3.09911251276662,-0.0812035536699835
"23","15","prey",2,"15.prey",8,4,229.866188249559,91.9483666132175,15352.826487417,0.778866706620428,264.571691176471,3.02968042904473,-0.308889483697721
"24","15","prey",2,"15.prey",9,2,214.728368197291,81.6207857504728,13626.115001522,0.679119860985783,243.450735294118,3.026933164648,-0.421324389654233
"25","15","prey",2,"15.prey",10,1,222.671686868107,76.1650582107843,12668.1136058322,0.489873284349923,251.764522058824,3.30543680577914,-0.845365441086309
"26","15","prey",2,"15.prey",12,1,183.546067899816,77.6156045751634,10252.6250045055,0.18299635496114,231.624080882353,2.99714703645819,-1.77655619261314
"27","15","prey",2,"15.prey",13,3,208.991739700931,96.5601858335927,15239.3933245048,0.482376062612082,255.475551470588,2.77883148273823,-0.864462352253145
"28","15","prey",2,"15.prey",14,2,248.073215423421,95.3407373366014,17677.1428666634,0.578926191346073,285.028676470588,3.02665134464623,-0.646108319186842
"29","15","prey",2,"15.prey",16,2,216.727404540764,91.4436418613669,14776.0609093553,0.377721024535069,253.055575980392,2.79528421877259,-1.09579342884077
"30","15","prey",2,"15.prey",17,1,213.201522058824,108.072843137255,18166.4474000384,0.180165084084181,233.542647058824,2.18192220783777,-1.7978945465959
"31","15","prey",2,"15.prey",18,1,191.865412888184,109.529057406095,13786.9899798155,0.347429292496186,253.827205882353,2.30071310147025,-1.16921855914091
"32","15","prey",2,"15.prey",19,2,269.552566348805,99.3532284007353,19398.2169427399,1.23783107736399,293.396507352941,2.95234693722779,0.840668713903328
"33","15","prey",2,"15.prey",20,8,219.962199101277,98.600116287776,16130.5958142052,0.540556291865396,261.574430147059,2.71219779063093,-0.730675060104081
"34","15","prey",2,"15.prey",21,5,241.604977435812,103.126882363643,18586.2765554415,0.524028441972887,282.345986519608,2.77168255788458,-0.768370919089643
"35","15","prey",2,"15.prey",22,1,216.151669660762,105.073151552288,16888.5108041378,0.46472105908624,273.476746323529,2.76548681942797,-0.910722146584327
"36","15","prey",2,"15.prey",23,9,216.034581420423,100.960090296354,16470.0289350471,0.518602739848168,258.981985294118,2.57618714186363,-0.793082007218457
"37","15","prey",2,"15.prey",24,7,224.485526970839,100.489444523576,16484.4883532259,0.521729856102001,256.029094251337,2.64000684967844,-0.776076761719946
"38","15","prey",3,"15.prey",0,18,256.668398909876,86.2337604611934,16703.4135682531,1.52036334252442,283.649858597285,3.390455182205,1.48012438907912
"39","15","prey",3,"15.prey",1,21,260.440554901705,87.6959886641921,17081.4685979104,1.52772968633396,308.333068885449,3.59668899640708,1.46064928716007
"40","15","prey",3,"15.prey",2,22,248.652094993667,94.3922154446758,17509.8916937734,1.14224788691942,284.892592408585,3.13845760072641,0.599773728306713
"41","15","prey",3,"15.prey",3,21,250.023382823535,85.539519237947,16041.679022178,1.12262738431819,277.316829361055,3.29215607581125,0.594420190847211
"42","15","prey",3,"15.prey",4,22,251.355232746093,82.7126435376392,15660.2441717415,1.25850808652512,275.373612967914,3.40078239798165,0.857325172526402
"43","15","prey",3,"15.prey",5,20,258.253616735333,96.0265299687163,18653.6724200214,1.15840248445716,291.55875,3.16287030822343,0.637841832614075
"44","15","prey",3,"15.prey",6,20,265.420054100465,90.8899390317703,17969.3030626075,1.40562305360889,300.838082107843,3.44033816595566,1.1670711380272
"45","15","prey",3,"15.prey",7,16,255.815300777433,92.525408156139,17393.958921106,1.23031733894007,288.976016435986,3.26465236174248,0.783877814582187
"46","15","prey",3,"15.prey",8,19,247.409292035953,88.2321730655084,16192.2237554779,1.08903591635407,284.344408206831,3.28513006294816,0.47776802206732
"47","15","prey",3,"15.prey",9,24,242.069127003633,83.3447664492536,14905.3074656451,1.03916098571508,267.865689124487,3.29325956765366,0.379282170322347
"48","15","prey",3,"15.prey",10,19,254.152789696365,92.5516368120451,17417.2207316291,1.18485497508436,286.465212789661,3.22581983096934,0.693303567673906
"49","15","prey",3,"15.prey",11,17,266.945154155919,103.235937390421,20604.3701401826,1.134462492819,299.93748328877,3.01609228732021,0.573257011184565
"50","15","prey",3,"15.prey",12,20,244.361902093315,84.9670628654673,15598.3176221251,1.06968456976808,277.413652432127,3.35207210774391,0.46397841491314
"51","15","prey",3,"15.prey",13,18,244.51485018567,89.1080790988905,16281.1848852878,1.07054031983021,281.362994421907,3.20412024293883,0.422479030140294
"52","15","prey",3,"15.prey",14,16,231.001957921112,89.5551963255879,15470.7902234298,0.846942807452495,260.859598785166,2.97757684259972,-0.0614599628781034
"53","15","prey",3,"15.prey",15,11,227.22516237258,93.746391704168,15859.7656415675,0.751892320461656,269.567290224913,2.98620765174874,-0.294189221913429
"54","15","prey",3,"15.prey",16,14,235.616293542017,97.6028237676259,17024.3445622892,0.836781434659749,273.766783088235,2.8951186609286,-0.0824096393060645
"55","15","prey",3,"15.prey",17,9,246.046429671787,98.9763030102666,17951.9854649405,0.935746424196678,282.229468325792,2.94925246208197,0.173394945011326
"56","15","prey",3,"15.prey",18,6,262.246601384464,99.1475250391337,18975.9264920229,0.981554103266463,295.884788602941,3.04036553197985,0.25361017930768
"57","15","prey",3,"15.prey",19,7,249.158346423621,98.2809904714869,18073.3051940337,1.04158872181138,288.340004595588,2.94678865667582,0.422924130161368
"58","15","prey",3,"15.prey",20,15,261.598969874563,99.4863461763054,19377.2350132851,1.28053006173264,298.655943627451,3.12788745550373,0.911164608049581
"59","15","prey",3,"15.prey",21,16,247.890728499209,96.5685450414147,17979.7913210724,0.874556717093338,282.338480392157,2.95049163986069,0.0270745125510831
"60","15","prey",3,"15.prey",22,12,264.584780137341,103.415399607226,20730.6539372924,0.943213593396013,299.817521724599,2.93273777775351,0.154172380534683
"61","15","prey",3,"15.prey",23,16,253.343713698157,104.892933664643,19711.7051851892,0.726357425508389,288.560330882353,2.80521171809689,-0.334513083397495
"62","15","prey",3,"15.prey",24,17,247.081507157309,106.435504535594,19661.3752248794,0.705439978281025,283.659880514706,2.65892995816522,-0.374676275806883
"63","15","prey",4,"15.prey",0,21,226.397002046239,70.3272798872753,11798.7336988006,1.42775292355441,247.864338235294,3.52300300998974,1.26974785070847
"64","15","prey",4,"15.prey",1,22,254.549207720401,84.7431761331677,16070.0397028263,1.40654146190547,289.164473684211,3.54953088520638,1.16874435036958
"65","15","prey",4,"15.prey",2,20,236.127605705153,83.8427416200354,14600.3319156856,0.905700901174425,268.664226827095,3.26894195089396,0.0660005751185226
"66","15","prey",4,"15.prey",3,19,238.641054802527,84.0052688968844,14907.8956671425,0.952432858927763,271.883731617647,3.3027168945182,0.157165609639496
"67","15","prey",4,"15.prey",4,17,243.957100526019,89.1568930318961,16190.5194514275,0.862621147201133,278.705861142534,3.204656443534,-0.0356226852800964
"68","15","prey",4,"15.prey",5,19,252.478447759295,87.180431203969,16340.9625796499,1.0179808966983,284.832548624288,3.38136108204518,0.312240303079462
"69","15","prey",4,"15.prey",6,17,259.689309064235,86.4464671162973,16692.8495466217,1.1891205957957,292.500010813149,3.46175172555048,0.671195821281617
"70","15","prey",4,"15.prey",7,17,239.180014006622,86.3636606037101,15451.2388335171,0.961976733680231,271.980399816176,3.22710510884007,0.18943604920549
"71","15","prey",4,"15.prey",8,14,240.247945605624,87.032588388325,15823.2487584327,0.903541409436917,274.160764705882,3.25108314002371,0.0679945927448025
"72","15","prey",4,"15.prey",9,14,235.169407815876,90.4432007330073,15636.9384575476,0.910279472313052,276.653734520124,3.13452538293071,0.0759374297844251
"73","15","prey",4,"15.prey",10,14,235.635609604448,85.5025776612583,14767.8551099142,0.83814667257342,268.844195418552,3.22612410903946,-0.11957911318234
"74","15","prey",4,"15.prey",11,11,228.489516327357,80.363594237971,13669.2362899957,0.998208418087453,256.390592560554,3.22456364876829,0.266263741620725
"75","15","prey",4,"15.prey",12,13,226.158046052471,81.8463516791144,13733.9580400792,0.763485079287211,254.054391339869,3.13753810511491,-0.248074551473014
"76","15","prey",4,"15.prey",13,12,256.144453353153,90.4812696486595,17246.6719132745,0.96555539204836,289.241661096257,3.26177040605549,0.186876801986286
"77","15","prey",4,"15.prey",14,11,239.27043931619,88.1130622465095,16018.2393561723,0.731386560343761,272.217405790441,3.14324548260034,-0.311187368368914
"78","15","prey",4,"15.prey",15,6,247.433955288519,85.7330976462945,15635.2225038535,0.867251489256798,297.306985294118,3.48917528526447,-0.0154197539479315
"79","15","prey",4,"15.prey",16,7,223.901442393751,84.7418125377805,14339.3811873764,0.66607920353954,257.558051470588,3.09578176391344,-0.463239962114266
"80","15","prey",4,"15.prey",17,8,207.106218908047,77.6042579206191,12043.5988411586,0.483555062167821,233.392293552036,3.03762095953578,-0.911540484571826
"81","15","prey",4,"15.prey",18,6,203.608270559541,84.2393034864455,12836.0452092103,0.43797175315532,246.719117647059,2.93199208543743,-0.968149189455141
"82","15","prey",4,"15.prey",19,5,198.192580207224,88.2753873381827,11833.0869676587,0.293467668492023,232.942757352941,2.77381650210595,-1.45146977534945
"83","15","prey",4,"15.prey",20,15,261.099556219749,93.6729690826908,18451.4974682221,1.07881103444563,288.253952205882,3.11125059115781,0.440917085128642
"84","15","prey",4,"15.prey",21,14,244.427681073914,98.7142323144407,18013.515102238,0.867309545222935,276.635625,2.85627289440316,-0.0165370575582647
"85","15","prey",4,"15.prey",22,11,233.431725036308,99.4783713215302,17711.3208598458,0.612819013969376,277.248012408088,2.93137093734251,-0.572554687039575
"86","15","prey",4,"15.prey",23,18,231.097017625733,97.0140489037793,16622.6235174402,0.656304134336323,263.875495524297,2.74855138674796,-0.489140644615539
"87","15","prey",4,"15.prey",24,13,249.687159041708,95.5014868329929,17992.5007624765,0.798646524585832,279.006996107266,2.98773554830969,-0.175378635538067
"88","15","prey",5,"15.prey",0,17,259.65050109967,84.3452461420187,16440.797260954,1.59641087807536,282.77909007353,3.45607087033433,1.80762073814247
"89","15","prey",5,"15.prey",1,19,270.310851544775,89.9213287641337,17922.8224893888,1.54642636951971,305.912119528044,3.55038740726478,1.53649085403255
"90","15","prey",5,"15.prey",2,18,247.942266308041,81.4174879526716,14940.4723957031,1.2140091586163,276.223154956427,3.51103313749963,0.780129936536768
"91","15","prey",5,"15.prey",3,18,253.821359766588,87.0914149896308,16448.4542491519,1.13370602087267,291.850901884191,3.47903944955417,0.559398155837682
"92","15","prey",5,"15.prey",4,21,255.849361577075,91.2290685963954,17123.3079640914,1.18549078174343,286.750882352941,3.28102433519975,0.711815133531149
"93","15","prey",5,"15.prey",5,19,270.982969151004,91.2750586671003,18331.2478928877,1.3198601745888,303.332368259804,3.40964354697839,1.02220437830344
"94","15","prey",5,"15.prey",6,15,262.15416208943,87.7586916384007,17193.634685353,1.32615333780779,290.417264507154,3.42675927997079,0.9935978758429
"95","15","prey",5,"15.prey",7,17,267.357464669275,97.7131666625148,19314.298302127,1.35241185066147,304.270183823529,3.20276066023903,1.05171866177748
"96","15","prey",5,"15.prey",8,17,244.823897318245,82.022416066222,14846.6229726231,1.20694680157573,271.913636982571,3.38514504793795,0.752282388050245
"97","15","prey",5,"15.prey",9,18,245.404044481179,93.1009703681963,17010.3973867742,1.1686510240579,279.581855085784,3.08776713793851,0.648968095622
"98","15","prey",5,"15.prey",10,16,254.183998579281,95.4612235901455,18201.0949933938,1.10657997669499,292.537712545956,3.17426444382444,0.524455853919601
"99","15","prey",5,"15.prey",11,17,244.883302551612,91.369662944725,16433.9779016858,1.04294779863544,276.948286115917,3.14145530379792,0.361242149616178
"100","15","prey",5,"15.prey",12,13,256.993988224422,90.984619154311,17270.4985637531,1.26929399417746,288.176245915033,3.25601054257674,0.870905287018713
"101","15","prey",5,"15.prey",13,10,256.608257555388,97.2580681561564,18541.5520091454,0.912408412618715,305.378860294118,3.15449678454446,0.0877235679955954
"102","15","prey",5,"15.prey",14,9,239.756051803645,84.1673467329181,14927.4488623478,1.07359065462814,269.921959841629,3.29730491634436,0.429663709512457
"103","15","prey",5,"15.prey",15,7,237.567877644639,100.939013235509,17985.1266277096,0.808460164666823,267.343382352941,2.70853092323103,-0.140051192986138
"104","15","prey",5,"15.prey",16,5,242.053525848337,99.5488831855979,17901.1301406664,0.957488373614313,273.99385026738,2.95591867952529,0.176304388677508
