 Frame  ID  CentroidX  CentroidY  Width  Length  Area  Angle  Box_TLX  Box_TLY  Box_BRX  Box_BRY  Box_W  Box_H  rBox_TLX  rBox_TLY  rBox_TRX  rBox_TRY  rBox_BRX  rBox_BRY  rBox_BLX  rBox_BLY  lBox_TLX  lBox_TLY  lBox_BRX  lBox_BRY  Label   HOMver   NONpro   PARcau
    79   0       1504       2080  4.950   6.364  15.5 45.000     1501     2077     1509     2084      8      7      1503      2076      1508      2081      1504      2084      1500      2080      1476      2052      1534      2109 PARcau 0.936163 0.000016 0.063821
    81   0       1505       2080  4.272   7.159  18.0 18.435     1501     2078     1509     2084      8      6      1502      2077      1508      2080      1507      2084      1500      2081      1476      2053      1534      2109 PARcau 0.617431 0.009471 0.373098
    82   0       1505       2080  5.000   6.000  17.0 90.000     1502     2078     1509     2084      7      6      1502      2078      1508      2078      1508      2083      1502      2083      1477      2053      1534      2109 PARcau 0.317641 0.000289 0.682070
    87   1       4759       1931  5.099  64.938 136.5 80.707     4729     1927     4794     1939     65     12      4728      1934      4792      1923      4793      1928      4729      1939      4704      1902      4819      1964 PARcau 0.004765 0.000014 0.995221
    88   1       4700       1941  0.500  50.540 154.5  2.291     4673     1936     4724     1946     51     10      4672      1936      4722      1946      4723      1938      4672      1944      4648      1911      4749      1971 PARcau 0.861301 0.000058 0.138640
    95   2       4454       1289  5.220  41.003 148.0 74.745     4448     1271     4462     1311     14     40      4451      1270      4462      1309      4457      1311      4446      1271      4423      1246      4487      1336 PARcau 0.003714 0.000895 0.995391
    96   2       4445       1254  7.071  28.636 156.0 77.471     4440     1241     4451     1270     11     29      4438      1241      4445      1240      4451      1268      4444      1269      4415      1216      4476      1295 PARcau 0.022846 0.001963 0.975190
    97   2       4440       1231  8.062  19.105 131.5 82.875     4436     1222     4446     1242     10     20      4435      1222      4443      1221      4445      1240      4437      1241      4411      1197      4471      1267 PARcau 0.022785 0.893740 0.083475
    98   2       4438       1217  9.000  13.000  91.5 90.000     4434     1211     4444     1225     10     14      4434      1211      4443      1211      4443      1224      4434      1224      4409      1186      4469      1250 PARcau 0.002959 0.561238 0.435803
    99   2       4437       1211  9.000  10.000  69.5 90.000     4432     1207     4443     1217     11     10      4432      1207      4442      1207      4442      1216      4432      1216      4407      1182      4468      1242 PARcau 0.001571 0.811663 0.186766
   100   2       4437       1209  7.826   9.394  53.0 63.435     4433     1206     4443     1215     10      9      4431      1208      4439      1204      4443      1211      4434      1215      4408      1181      4468      1240 PARcau 0.000040 0.988588 0.011372
   101   2       4437       1209  7.000   8.000  48.5 90.000     4433     1206     4442     1214      9      8      4433      1206      4441      1206      4441      1213      4433      1213      4408      1181      4467      1239 PARcau 0.000066 0.991032 0.008903
   102   2       4437       1209  7.000   8.000  47.5 90.000     4433     1206     4442     1214      9      8      4433      1206      4441      1206      4441      1213      4433      1213      4408      1181      4467      1239 PARcau 0.001017 0.764856 0.234127
   103   2       4437       1209  7.000   8.000  46.5 90.000     4433     1206     4442     1214      9      8      4433      1206      4441      1206      4441      1213      4433      1213      4408      1181      4467      1239 PARcau 0.001114 0.890032 0.108854
   104   2       4437       1209  7.000   8.000  40.5  0.000     4433     1206     4442     1214      9      8      4433      1206      4441      1206      4441      1213      4433      1213      4408      1181      4467      1239 PARcau 0.000121 0.942969 0.056910
   105   2       4437       1209  7.071   7.810  39.5 45.000     4433     1206     4442     1214      9      8      4437      1204      4442      1209      4437      1215      4432      1210      4408      1181      4467      1239 PARcau 0.000162 0.853191 0.146647
   106   2       4436       1210  6.000   7.000  21.0 90.000     4433     1207     4441     1214      8      7      4433      1207      4440      1207      4440      1213      4433      1213      4408      1182      4466      1239 PARcau 0.000222 0.957013 0.042765
